Notes,Date of first run,Other days run,Other days run,Date of best run,POM #,Date,filter ID,filter ID.2,filter ID.3,filter ID.4,filter ID.5,Tube Weight (g),Tube + Filter Wet Weight (g),Wet Disk(s) weight (g),Freeze Dried Tube + Sample (g),Dry Weight (g),Filter pre weight (g),Dry Material on Filter (g),Percent Dry,Percent Wet,Number of disks,DFO WVL Metadta file name,DFO WVL Metadta file name
okay,5/30/18,,,5/30/18,POM-51,6/19/17,QF3411,QF3341,,,,11.6773,13.326,1.6487,11.9821,0.3048,,0.3048,18.48729302,81.51270698,2,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-52,1/5/16,QF1453,,,,,11.6365,12.4405,0.804,11.7921,0.1556,,0.1556,19.35323383,80.64676617,1,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-53,4/28/16,QF1707,,,,,11.7404,12.5378,0.7974,11.8923,0.1519,,0.1519,19.04941058,80.95058942,1,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-54,3/15/17,QF2745,QF2774,,,,11.706,13.4223,1.7163,12.0254,0.3194,,0.3194,18.60980015,81.39019985,2,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-55,11/26/16,QF2273,QF2508,,,,11.6721,13.2409,1.5688,11.9689,0.2968,,0.2968,18.91891892,81.08108108,2,POM Master Sample List,Sample Sheet
bad,6/5/18,,5/30/18,6/5/18,POM-56,10/22/16,QF2381,QF2506,,,,11.7014,13.3433,1.6419,12.0058,0.3044,,0.3044,18.53949692,81.46050308,2,POM Master Sample List,Sample Sheet
bad,6/12/18,6/5/18,5/30/18,6/12/18,POM-58,4/24/17,QF3178,QF3176,QF3177,,,11.6581,14.5274,2.8693,12.144,0.4859,,0.4859,16.93444394,83.06555606,3,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-59,11/15/16,QF2274,,,,,11.6031,12.3792,0.7761,11.7519,0.1488,,0.1488,19.17278701,80.82721299,1,POM Master Sample List,Sample Sheet
4 uL,6/12/18,6/5/18,5/30/18,6/12/18,POM-60,3/24/15,QF452,QF541,,,,11.4479,13.0159,1.568,11.757,0.3091,,0.3091,19.7130102,80.2869898,2,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-61,3/18/15,QF453,QF454,,,,11.6889,13.6757,1.9868,12.0119,0.323,,0.323,16.25729817,83.74270183,2,POM Master Sample List,Sample Sheet
4 uL,6/12/18,6/5/18,5/30/18,6/12/18,POM-62,4/6/15,QF561,,,,,11.737,12.4712,0.7342,11.8894,0.1524,,0.1524,20.75728684,79.24271316,1,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-63,7/7/15,QF1120,QF1129,,,,11.5551,13.1339,1.5788,11.8664,0.3113,,0.3113,19.71750697,80.28249303,2,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-64,7/28/15,QF1032,QF1033,,,,11.7008,13.4636,1.7628,12.0308,0.33,,0.33,18.72021784,81.27978216,2,POM Master Sample List,Sample Sheet
4 uL,6/12/18,6/5/18,5/30/18,6/12/18,POM-65,8/12/15,QF1146,QF1147,,,,11.665,13.288,1.623,11.9797,0.3147,,0.3147,19.39001848,80.60998152,2,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-66,8/20/15,QF1148,QF1175,,,,11.6569,13.1961,1.5392,11.9692,0.3123,,0.3123,20.28976091,79.71023909,2,POM Master Sample List,Sample Sheet
,6/12/18,6/5/18,5/30/18,6/12/18,POM-67,9/2/15,QF1132,QF1198,,,,11.5258,13.1701,1.6443,11.8415,0.3157,,0.3157,19.19965943,80.80034057,2,POM Master Sample List,Sample Sheet
,6/12/18,6/5/18,5/30/18,6/12/18,POM-68,9/9/15,QF1200,QF1305,,,,11.675,13.3749,1.6999,11.9914,0.3164,,0.3164,18.61285958,81.38714042,2,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-69,4/22/15,QF642,QF643,QF648,,,11.5343,14.0488,2.5145,12.0128,0.4785,,0.4785,19.02962816,80.97037184,3,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-70,7/22/15,QF1034,QF1127,QF1128,,,11.425,13.8108,2.3858,11.8918,0.4668,,0.4668,19.5657641,80.4342359,3,POM Master Sample List,Sample Sheet
5/30 run is okay..,6/12/18,,5/30/18,6/12/18,POM-71,3/31/15,QF549,QF550,,,,11.6007,12.9966,1.3959,11.8925,0.2918,,0.2918,20.90407622,79.09592378,2,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-72,6/24/15,QF949,QF950,QF955,,,11.4411,13.6868,2.2457,11.9011,0.46,,0.46,20.48359086,79.51640914,3,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-73,8/25/15,QF1176,QF1177,,,,11.5988,13.2108,1.612,11.9199,0.3211,,0.3211,19.91935484,80.08064516,2,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-74,6/15/15,QF881,QF947,QF948,,,11.6355,13.9385,2.303,12.1053,0.4698,,0.4698,20.39947894,79.60052106,3,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-77,4/14/15,QF532,QF562,QF563,,,11.7367,14.3597,2.623,12.2166,0.4799,,0.4799,18.29584445,81.70415555,3,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-78,6/3/15,QF880,QF883,,,,11.6616,13.3376,1.676,11.9748,0.3132,,0.3132,18.68735084,81.31264916,2,POM Master Sample List,Sample Sheet
okay,5/30/18,,,5/30/18,POM-79,6/30/15,QF1108,QF1109,QF1110,,,11.3413,13.7144,2.3731,11.805,0.4637,,0.4637,19.5398424,80.4601576,3,POM Master Sample List,Sample Sheet
,6/12/18,6/5/18,5/30/18,6/12/18,POM-80,3/13/15,QF261,QF263,QF333,,,11.6675,14.3546,2.6871,12.1887,0.5212,,0.5212,19.39637527,80.60362473,4,POM Master Sample List,Sample Sheet
,6/12/18,6/5/18,5/30/18,6/12/18,POM-81,5/1/15,QF766,QF767,,,,11.6521,13.1783,1.5262,11.975,0.3229,,0.3229,21.15712226,78.84287774,2,POM Master Sample List,Sample Sheet
,6/12/18,6/5/18,5/30/18,6/12/18,POM-82,5/5/15,QF770,QF771,QF768,,,11.4932,13.8707,2.3775,11.9696,0.4764,,0.4764,20.03785489,79.96214511,3,POM Master Sample List,Sample Sheet
okay,6/5/18,5/30/18,5/30/18 run okay,5/30/18,POM-83,5/13/15,QF644,QF645,QF646,QF647,,11.6895,14.6638,2.9743,12.3296,0.6401,,0.6401,21.52103016,78.47896984,4,POM Master Sample List,Sample Sheet
,6/27/18,,,6/27/18,POM-88,5/26/15,QF736,QF737,QF882,,,11.6935,14.0726,2.3791,12.161,0.4675,,0.4675,19.65028792,80.34971208,3,POM Master Sample List,Sample Sheet
,6/27/18,12/3/19,,6/27/18,POM-89,5/21/15,QF876,QF875,QF877,QF769,,11.79,14.9247,3.1347,12.4637,0.6737,,0.6737,21.49168979,78.50831021,4,POM Master Sample List,Sample Sheet
,6/27/18,,,6/27/18,POM-90,2/9/16,QF1391,,,,,11.6438,12.4801,0.8363,11.8061,0.1623,,0.1623,19.4069114,80.5930886,1,POM Master Sample List,Sample Sheet
,10/24/19,,,12/3/19,Q19-005,6/9/16,QF1680,QF1681,QF1955,QF1956,,11.6496,15.2102,3.5606,12.269,0.6194,,,0.173959445,,,2019 Oct 22 metadata for Hakai FA samples,
,10/24/19,,,12/5/19,Q19-006,12/11/15,QF1387,,,,,11.5752,12.4411,0.8659,11.7376,0.1624,,,0.187550525,,,2019 Oct 22 metadata for Hakai FA samples,
,10/24/19,,,12/3/19,Q19-007,9/28/15,QF1203,,,,,11.5634,12.3732,0.8098,11.7236,0.1602,,,0.197826624,,,2019 Oct 22 metadata for Hakai FA samples,
,10/24/19,,,12/3/19,Q19-008,3/29/16,QF1653,,,,,11.7616,12.596,0.8344,11.9221,0.1605,,,0.192353787,,,2019 Oct 22 metadata for Hakai FA samples,
,10/24/19,,,12/3/19,Q19-009,4/14/16,QF1392,QF1534,,,,11.6404,13.5196,1.8792,11.9752,0.3348,,,0.17816092,,,2019 Oct 22 metadata for Hakai FA samples,
,10/24/19,,,12/3/19,Q19-015,6/4/19,QF6217,QF6218,,,,11.6654,13.2838,1.6184,11.9691,0.3037,,,0.187654474,,,2019 Oct 22 metadata for Hakai FA samples,
,10/24/19,,,12/3/19,Q19-017,5/2/19,QF6211,QF6212,,,,11.7603,13.4031,1.6428,12.0578,0.2975,,,0.181093255,,,2019 Oct 22 metadata for Hakai FA samples,
,10/24/19,,,12/3/19,Q19-019,3/27/19,QF6204,QF6205,QX8411,,,11.5538,14.1829,2.6291,12.0055,0.4517,,,0.171807843,,,2019 Oct 22 metadata for Hakai FA samples,
,10/24/19,,,12/3/19,Q19-020,3/12/19,QF6202,QF6203,,,,11.7052,13.4514,1.7462,12.0209,0.3157,,,0.180792578,,,2019 Oct 22 metadata for Hakai FA samples,
,10/24/19,,,12/5/19,Q19-023,1/23/19,QF6165,,,,,11.3895,12.164,0.7745,11.5355,0.146,,,0.188508715,,,2019 Oct 22 metadata for Hakai FA samples,
